name,JURISDIC,total_collisions,pct_WaTotal,pct_fatal,pct_serious,pct_minor,pct_property,pct_unknown,Col_per_licDR,fatal_perLicDr,serious_injry_perLicDr
Adams,1,497,0.424593987,2.012072435,2.414486922,25.15090543,66.80080483,3.621730382,342.4,7.58,10.33
Asotin,2,225,0.192220618,0.444444444,1.333333333,21.33333333,71.11111111,5.777777778,132.6,0.59,2.36
Benton,3,3012,2.57319334,0.298804781,1.062416999,25.83001328,70.94953519,1.859229748,209.8,0.77,2.51
Chelan,4,1208,1.03201114,0.496688742,2.069536424,28.14569536,67.54966887,1.738410596,199.7,0.99,5.46
Clallam,5,824,0.703954619,0.72815534,2.184466019,30.7038835,63.22815534,3.155339806,135.5,0.99,3.62
Clark,6,4907,4.1921181,0.427960057,2.506623191,34.35907887,59.22152028,3.484817607,133.1,0.65,4.15
Columbia,7,82,0.070053736,1.219512195,6.097560976,19.51219512,71.95121951,1.219512195,264,3.22,19.32
Cowlitz,8,1537,1.313080399,0.455432661,2.277163305,28.43201041,67.46909564,1.366297983,187.9,0.86,4.77
Douglas,9,551,0.470726936,0.54446461,1.451905626,28.13067151,66.4246824,3.448275862,186.8,1.02,3.73
Ferry,10,78,0.066636481,2.564102564,3.846153846,43.58974359,48.71794872,1.282051282,140.6,3.61,7.21
Franklin,11,1207,1.031156826,0.414250207,1.491300746,28.9975145,67.35708368,1.73985087,200.9,0.83,3.99
Garfield,12,50,0.042715693,0,0,22,76,2,260.1,0,0
Grant,13,1514,1.293431181,0.858652576,1.321003963,25.75957728,67.56935271,4.491413474,228.4,2.56,5.13
Grays Harbor,14,1083,0.925221908,0.461680517,3.78578024,26.31578947,66.48199446,2.954755309,197.6,0.91,8.76
Island,15,706,0.603145584,1.274787535,1.274787535,29.0368272,64.73087819,3.682719547,97.6,1.24,2.07
Jefferson,16,436,0.372480842,1.834862385,4.128440367,28.89908257,63.0733945,2.064220183,156.6,2.87,8.26
King,17,40962,34.99440424,0.244128705,1.196230653,30.74068649,66.33221034,1.486743811,239.2,0.64,3.36
Kitsap,18,3263,2.787626118,0.490346307,1.501685565,31.4128103,64.23536623,2.359791603,154.7,0.85,2.66
Kittitas,19,1277,1.090958796,0.626468285,1.801096319,22.31793265,74.00156617,1.25293657,408.5,2.56,9.28
Klickitat,20,326,0.278506318,0.306748466,3.987730061,25.4601227,65.03067485,5.214723926,171.4,0.53,9.46
Lewis,21,1453,1.241318035,0.75705437,2.133516862,28.14865795,65.38196834,3.578802478,226.7,2.18,5.62
Lincoln,22,191,0.163173947,1.570680628,2.617801047,20.94240838,72.2513089,2.617801047,208.3,6.54,5.45
Mason,23,860,0.734709918,0.930232558,3.255813953,27.09302326,64.65116279,4.069767442,186.7,1.74,7.82
Okanogan,24,494,0.422031046,1.214574899,2.631578947,25.10121457,66.19433198,4.858299595,152.1,1.85,4.62
Pacific,25,269,0.229810428,0.371747212,1.486988848,27.50929368,66.54275093,4.089219331,146.8,0.55,3.27
Pend Oreille,26,159,0.135835903,1.886792453,3.773584906,24.52830189,64.1509434,5.660377358,158.7,3,8.99
Pierce,27,13490,11.52469394,0.467012602,1.660489251,29.31060044,66.13787991,2.424017791,209.3,1.02,4.1
San Juan,28,83,0.07090805,1.204819277,4.819277108,36.14457831,54.21686747,3.614457831,56.1,0.68,2.71
Skagit,29,2255,1.926477749,0.576496674,1.951219512,27.71618625,67.09534368,2.66075388,231.6,1.44,5.03
Skamania,30,142,0.121312568,2.816901408,10.56338028,30.98591549,53.52112676,2.112676056,164.6,9.27,20.87
Snohomish,31,13635,11.64856945,0.35936927,1.180784745,28.25815915,67.76677668,2.434910158,248.1,0.96,3.26
Spokane,32,6696,5.720485592,0.492831541,1.493428913,34.09498208,61.42473118,2.494026284,182.6,0.98,3.11
Stevens,33,480,0.410070652,1.875,2.083333333,29.79166667,63.125,3.125,148.4,2.78,4.33
Thurston,34,4467,3.816220003,0.291023058,1.320796955,30.3335572,66.12939333,1.92522946,206.3,0.65,3.09
Wahkiakum,35,64,0.054676087,1.5625,0,21.875,70.3125,6.25,209.4,3.27,0
Walla Walla,36,928,0.79280326,0.538793103,1.185344828,22.95258621,69.2887931,6.034482759,207.5,1.56,4.02
Whatcom,37,2883,2.462986852,0.346860909,0.936524454,27.3673257,68.74783212,2.601456816,179,0.68,2.11
Whitman,38,661,0.56470146,0.756429652,1.664145234,26.47503782,69.44024206,1.664145234,220,2,4.66
Yakima,39,4098,3.500978189,0.732064422,1.317715959,28.25768668,65.61737433,4.075158614,231.7,1.98,3.85
